Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
easy_bpnn,poker-8-9_vs_5,-,keel,0.44722891566265055,0.10366039889339185,0.5012280817537372,0.004264206024326759,0.5226829268292683,0.07948600496394256,0.3155858971006678,0.04486378242419491,0.4867676695290871,0.07145639501840476,0.5215609756097562,0.1577031451018491,0.010552386516684022,0.03681644657928484,0.0463392844696382,0.035352815987215985,0.5601496133254016,0.11039305547381048,0.0007423365778009394,0.007058956321262216,0.46798856880050155,0.03512532671708319,
amcs,poker-8-9_vs_5,-,keel,0.9344578313253011,0.04861024003440675,0.5009556673664324,0.008788418138612933,0.5321951219512195,0.05880325437055937,0.4943950866443969,0.007828806562918768,0.22234480799782083,0.2393657391694131,0.6445853658536586,0.07050449629364403,0.020862175181173066,0.04047559221213746,0.02951153574876219,0.014960949565246913,0.712738251041047,0.030486672856626384,0.010990577494082988,0.02346179578143024,0.03599534039385617,0.0015054142720953973,
des_mi,poker-8-9_vs_5,-,keel,0.9691566265060241,0.012877483581578197,0.5097293181063262,0.031731310690168726,0.53,0.078560063147335,0.5143603419536529,0.04418956660585436,0.149847819737767,0.23703302577928165,0.6160487804878049,0.1511716210553177,0.035661658948800565,0.09917229092576448,0.05468662864350652,0.0408723559295594,0.7392180249851279,0.019529018040398836,0.03167419235925082,0.0884890588409409,0.14793152320198716,0.013133728175376459,
drcw_aseg,poker-8-9_vs_5,-,keel,0.9879518072289157,1.1102230246251565e-16,0.49397590361445787,5.551115123125783e-17,0.5,0.0,0.49696969696969695,0.0,0.0316227766016838,0.0,0.7497073170731708,0.11582488988124442,0.0,0.0,0.14780632899564639,0.07914076237430506,0.75,0.0,0.0,0.0,0.048790006793569776,0.004565643105428517,
pt_bagging,poker-8-9_vs_5,-,keel,0.9879518072289157,1.1102230246251565e-16,0.49397590361445787,5.551115123125783e-17,0.5,0.0,0.49696969696969695,0.0,0.0316227766016838,0.0,0.751219512195122,0.11821375289779974,0.0,0.0,0.14223513404365878,0.0756383343294242,0.75,0.0,0.0,0.0,0.04233687041560188,0.0018257825468032006,
evinci,poker-8-9_vs_5,-,keel,0.9884337349397591,0.0009638554216867768,0.594214539316687,0.2004772714044584,0.52,0.039999999999999994,0.530423654015887,0.0669079140923801,0.11474094038133861,0.16623632755930964,0.7229756097560976,0.15207276194519354,0.08900957990019762,0.17801915980039523,0.18506225673152235,0.1607143069713128,0.752,0.0040000000000000036,0.0661290322580645,0.132258064516129,10.109052264201456,1.208726700256251,
multirandbal,poker-8-9_vs_5,-,keel,0.980722891566265,0.007148143120092201,0.5755724469090351,0.09223711736759613,0.5753658536585365,0.07135720068243007,0.564071312452485,0.0596899717556956,0.315738224425394,0.2411883344216503,0.7259512195121951,0.09053211721522778,0.141092886356678,0.12991305065756345,0.1433500056846629,0.0957194262628619,0.7540401546698394,0.01039238765295452,0.13046124497867073,0.11834666373234222,0.1940632755984552,0.031992094843445784,
dpse,poker-8-9_vs_5,-,keel,0.9821686746987952,0.004469213732769033,0.5527483464280369,0.07323098216861716,0.5365853658536586,0.0493322453803323,0.5427178729943302,0.05847181465952419,0.19724324427094214,0.20298499320768085,0.6560487804878049,0.1974420840691531,0.0879930794162852,0.11915975757364639,0.13063862457574613,0.12665830914503484,0.7474306960142773,0.007107093372972035,0.0865360655822146,0.11630825147618015,0.07433332660002634,0.012872843260771386,
oremboost,poker-8-9_vs_5,-,keel,0.9778313253012048,0.00853978079357558,0.5592300010702185,0.07530892064798816,0.5739024390243902,0.07398168495314796,0.5636680947373961,0.07444199198285426,0.3156577140939058,0.24189639532162402,0.8381463414634147,0.08498039806172555,0.13083150608935934,0.14809577819011283,0.1615905495646088,0.10250754850827877,0.7509836406900654,0.01732109120116615,0.1285842045726585,0.1483042017305123,1.0706746844109147,0.6450411431530685,
e_evrs,poker-8-9_vs_5,-,keel,0.9836144578313253,0.0038554216867469735,0.5275197589460066,0.06714627327108895,0.5175609756097561,0.04004459144485959,0.5208660947781614,0.05025114433540266,0.11446068531526761,0.1658304167724226,0.599560975609756,0.0790062309758924,0.04456236776119186,0.1033966448938213,0.04755174473638261,0.029806970442251952,0.7472290303390838,0.005635336486245699,0.043773839616031165,0.09974374254630111,2.5946365596028045,0.15229989258670215,
