Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
DeepSMOTE,yeast-2_vs_8,-,keel,0.9771692439862544,0.0042107176496858,0.9644169628511612,0.0474690580474143,0.7489130434782608,0.0773497690202486,0.8091058370117221,0.0607363831872358,0.6965252455437332,0.1149875973209005,0.8866584852734922,0.0605657931606429,0.6659928419527482,0.0883128593887028,0.6146535899583201,0.1229805037563481,0.8173972117202268,0.0378675399161626,0.6201182865817751,0.1194351547050603,0.7953739570220932,0.0664388111794869,
DBCF,yeast-2_vs_8,-,keel,0.9751073883161512,0.0050608958643784,0.963397226009056,0.0469719959230215,0.7239130434782608,0.091807619190342,0.781915698544988,0.0749525289423443,0.6551038893064236,0.1385945865933744,0.8466164095371669,0.1475055311327255,0.6244931485487812,0.1090719819166756,0.614865184099055,0.1487568017741003,0.8080222117202268,0.0433282332787343,0.5666569447145395,0.1474030366333776,8.929633565200493,0.962347370732975,
DEAHS,yeast-2_vs_8,-,keel,0.7903994845360824,0.0487745106220534,0.5709243094366933,0.0166585263861207,0.8188990182328191,0.0853085626054556,0.5648400520293322,0.0321299102982188,0.8089986584748761,0.0902435121405764,0.8975075970079477,0.1238755130093083,0.300037148777883,0.0733524031004171,0.5881579839913174,0.2116601618837745,0.8341494502516873,0.0808142870241629,0.196265129295891,0.0486881780366309,76.6255134704057,0.3496960720022457,
s_smote,yeast-2_vs_8,-,keel,0.8379295532646047,0.0509205637202818,0.579958491800597,0.0327251539798082,0.7719495091164096,0.0939978476371292,0.5915096384064483,0.0547577553222909,0.7608759913529577,0.1026503969635417,0.7521330060776064,0.1280896580658523,0.2923624014839764,0.1055135414786432,0.3121389455058721,0.2051310580080697,0.7872217708877693,0.0846201204062021,0.2232656121996862,0.0922392753336207,1.3383680748054758,0.1173357817128015,
scut,yeast-2_vs_8,-,keel,0.8961769759450171,0.0373546765318546,0.62262706667533,0.0368826766829089,0.7784128097241702,0.0416715004733293,0.6495536835280457,0.0361700181161919,0.7622783491114685,0.0581483240713243,0.8325093501636278,0.0977169332248547,0.3616009736184985,0.0358258745463463,0.4104296989726432,0.1559190346477683,0.8016263169021365,0.0197386698608315,0.3152646972348243,0.0601534233750104,1.2827089850092306,0.1316748782636525,
mdo,yeast-2_vs_8,-,keel,0.9792310996563574,0.0066225078131595,0.9654583962218218,0.0480607908521787,0.7739130434782608,0.092397697988493,0.8286825264882864,0.0772154195525324,0.7283089700633114,0.1339238938453849,0.8704125759700794,0.0559359477166981,0.6983493638631968,0.1190097102534878,0.575232408240877,0.1029428422821105,0.8330222117202268,0.0475128952290331,0.6590512027202047,0.1523766854944323,0.0982493218034505,0.0073899258477812,
smom,yeast-2_vs_8,-,keel,0.9771692439862544,0.0042107176496858,0.9404469571918516,0.0578820926674448,0.7728377746610565,0.0912390711337087,0.8174277313150853,0.0654265273313352,0.7273752431492454,0.1329733719402533,0.8595137914913511,0.1440573636685723,0.673917512489225,0.0926466070231887,0.6288331414764655,0.1962618874378014,0.8316839067138677,0.0459397350268276,0.6365189856964832,0.1286796689011001,0.7543835402000696,0.3645949531695557,
soup,yeast-2_vs_8,-,keel,0.9792310996563574,0.0066225078131595,0.9654583962218218,0.0480607908521787,0.7739130434782608,0.092397697988493,0.8286825264882864,0.0772154195525324,0.7283089700633114,0.1339238938453849,0.8840901122019635,0.0848786466603064,0.6983493638631968,0.1190097102534878,0.6341666563497488,0.1031333233588541,0.8330222117202268,0.0475128952290331,0.6590512027202047,0.1523766854944323,0.7192671856144444,0.0103017040044403,
mc_rbo,yeast-2_vs_8,-,keel,0.9771692439862544,0.0042107176496858,0.9644169628511612,0.0474690580474143,0.7489130434782608,0.0773497690202486,0.8091058370117221,0.0607363831872358,0.6965252455437332,0.1149875973209005,0.9042718560074802,0.1206392145468293,0.6659928419527482,0.0883128593887028,0.6742116564281512,0.1516323200437065,0.8173972117202268,0.0378675399161626,0.6201182865817751,0.1194351547050603,9.41569594501052,1.2779816821840089,
mc_ccr,yeast-2_vs_8,-,keel,0.977147766323024,0.0102415804158648,0.8644496242919972,0.1983246539911319,0.7489130434782608,0.1359521488152571,0.7881591449886847,0.1536561380497053,0.6346335253836481,0.3095316682934296,0.8780095839177186,0.1239461610366704,0.5999409773998684,0.3057857356837666,0.6340245049909999,0.1084374417443909,0.8298972117202268,0.0521322384546884,0.5810851010252895,0.2991883727489043,0.0783022008137777,0.0033877134705416,
ocsv_us,yeast-2_vs_8,-,keel,0.6198024054982818,0.1606107152555598,0.525629163847167,0.0145575224863401,0.6342332865825153,0.0756380614739092,0.4347859705926716,0.0762370554853087,0.5972180740186527,0.0933045946404521,0.7110215053763442,0.0506821644470422,0.1169932252575815,0.0655991952967705,0.1770214007208789,0.1132206421131191,0.6768310894197368,0.0740638103147174,0.0585815678801663,0.0406448219788358,3.5962782975984737,0.2447297237618045,
shsampler,yeast-2_vs_8,-,keel,0.9750644329896908,0.0106695358737182,0.9154121427528118,0.0996785220107764,0.7717391304347825,0.0930602382304521,0.8109172155953459,0.0851494268358019,0.7267633350620489,0.1342039752891138,0.8414679756895745,0.1309600243847773,0.6540927529015713,0.1479600188913151,0.650374583613119,0.078039495410283,0.8297849716446125,0.0493179962966426,0.6232748052046768,0.1687453828078559,0.0487529017729684,0.0046290107934503,
mc_evhs,yeast-2_vs_8,-,keel,0.958483676975945,0.0197540333229549,0.7419176044430438,0.102557462335704,0.7631019167835437,0.1479747052075013,0.7441477100073886,0.1187850596042064,0.7064775860748025,0.19752142305718,0.8548971482000937,0.1012804942950892,0.4975447474910258,0.2384313213665373,0.4593859186476806,0.2852292026631526,0.8291976733708957,0.095769293666298,0.4890474255646225,0.2371743798370987,0.065532478201203,0.0051586510054935,
nromm,yeast-2_vs_8,-,keel,0.977147766323024,0.0078413768967477,0.964428161059448,0.0475902626890594,0.7489130434782608,0.1106028334514347,0.8014868505639579,0.0946578212508148,0.6868876138260018,0.1629569611578856,0.8076788218793828,0.2035658375289286,0.6568489654518561,0.1447525265189659,0.5650461016434014,0.1731936838548665,0.8236472117202268,0.0547158951567031,0.6055887329865486,0.1866966702908709,0.3034458609996363,0.0082448048111724,
orem_m,yeast-2_vs_8,-,keel,0.9771692439862544,0.0042107176496858,0.9644169628511612,0.0474690580474143,0.7489130434782608,0.0773497690202486,0.8091058370117221,0.0607363831872358,0.6965252455437332,0.1149875973209005,0.9236413043478262,0.0870377634077782,0.6659928419527482,0.0883128593887028,0.661179490908428,0.1611853450693864,0.8173972117202268,0.0378675399161626,0.6201182865817751,0.1194351547050603,0.0848219638457521,0.0163211197409736,
glos,yeast-2_vs_8,-,keel,0.9730240549828176,0.0105396913785037,0.900401177168146,0.1104636617500733,0.7706755493221131,0.0919282162861184,0.8020434309005561,0.080749350522251,0.7258309410038143,0.1332592881636834,0.8509028751753156,0.1424739433198186,0.6372865169956556,0.1419355333010407,0.6007538997875324,0.1671332123432552,0.8284785557942274,0.0478770559061307,0.6055723646226232,0.1600321475979564,0.0694828098407015,0.0016446131649445,
mc_nro,yeast-2_vs_8,-,keel,0.9792310996563574,0.0066225078131595,0.9654583962218218,0.0480607908521787,0.7739130434782608,0.092397697988493,0.8286825264882864,0.0772154195525324,0.7283089700633114,0.1339238938453849,0.9168974988312296,0.0715560157192824,0.6983493638631968,0.1190097102534878,0.672575318825319,0.1614201551019747,0.8330222117202268,0.0475128952290331,0.6590512027202047,0.1523766854944323,1.2839346340158957,0.1485179717501275,
easy_bpnn,yeast-2_vs_8,-,keel,0.8899699312714777,0.0347870257685112,0.6076039073228345,0.0177391558802724,0.7751753155680225,0.0490734048550298,0.6375546070408158,0.0294496192135867,0.7600663745070595,0.0636298335103797,0.8373071528751753,0.0631084611474116,0.3413193707530798,0.0442377060295537,0.6641189546206872,0.1307411034807896,0.7967306351292074,0.0303053847882743,0.2924026649325345,0.0465238357417044,0.460212861187756,0.0227130462466568,
amcs,yeast-2_vs_8,-,keel,0.958483676975945,0.0197540333229549,0.7384455512758984,0.2120850103965678,0.6435016362786349,0.0956573649752607,0.6733612925446121,0.1343280155804018,0.48588808433723,0.2467054673865465,0.6901998597475456,0.1996531927155648,0.3694668800229209,0.2827277633903417,0.3827006220988961,0.2597573820213844,0.7699955055066081,0.0355091148508635,0.3516789355095148,0.2633649765826132,3.972349478746765,0.0579037576969384,
des_mi,yeast-2_vs_8,-,keel,0.9730240549828176,0.0083344403558461,0.8570576328170848,0.0826222842541148,0.7706755493221131,0.0932849464330758,0.8001505472774344,0.0796575688437076,0.7260678951311546,0.1340273351720678,0.8300578541374474,0.1394433146119931,0.614881457477781,0.1545670135107157,0.5801631580467238,0.1801069330140584,0.8281805179625648,0.0494092220007383,0.6011063017757664,0.1584923910639685,0.0649531334172934,0.0063141065794556,
drcw_aseg,yeast-2_vs_8,-,keel,0.9709407216494844,0.007824946760643,0.8476714270831206,0.0833691869197206,0.7456638616175782,0.0790866678794663,0.7817584906458446,0.0717219944975278,0.6944472031980876,0.1157883568755181,0.838268466573165,0.0727901758319586,0.5793988850076061,0.1417948650806674,0.5572682574881849,0.1190474791811358,0.8122692955587161,0.0409846778086555,0.564388142343598,0.1427314476790936,0.0272552791982889,0.0028845178277675,
