Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std
mc_rbo,ecoli1,-,keel,0.8382352941176471,0.0,0.7767295597484276,0.0,0.7644230769230769,0.0,0.770199692780338,0.0,0.7516008556101078,0.0,0.8677884615384615,0.0,0.541012686225555,0.0,0.7573154530260762,0.0,0.7838618713017751,0.0,0.5405405405405406,0.0,0.03854539996245876,0.0
mc_ccr,ecoli1,-,keel,0.8970588235294118,0.0,0.8529411764705882,0.0,0.8677884615384616,0.0,0.8599588114151221,0.0,0.8660254037844386,0.0,0.9002403846153845,0.0,0.7205766921228921,0.0,0.7648478835978836,0.0,0.8708452755177516,0.0,0.72,0.0,0.036666000029072165,0.0
ocsv_us,ecoli1,-,keel,0.8676470588235294,0.0,0.8114930182599356,0.0,0.8485576923076923,0.0,0.8268741159830268,0.0,0.8477912478906585,0.0,0.9435096153846155,0.0,0.6590092187963412,0.0,0.8759078092959671,0.0,0.8498578494822485,0.0,0.654627539503386,0.0,0.8834597000386566,0.0
shsampler,ecoli1,-,keel,0.8676470588235294,0.0,0.8194968553459119,0.0,0.8052884615384616,0.0,0.8119815668202766,0.0,0.7966275068156915,0.0,0.924278846153846,0.0,0.6246237377331407,0.0,0.7901587301587302,0.0,0.8191625832100593,0.0,0.624078624078624,0.0,0.03998250002041459,0.0
mc_evhs,ecoli1,-,keel,0.8676470588235294,0.0,0.8120567375886525,0.0,0.8701923076923077,0.0,0.8329238329238329,0.0,0.8701790266729821,0.0,0.8864182692307693,0.0,0.6797676185841045,0.0,0.6678873134948986,0.0,0.8702154215976332,0.0,0.6681127982646421,0.0,0.042156999988947064,0.0
nromm,ecoli1,-,keel,0.8676470588235294,0.0,0.8137254901960784,0.0,0.8269230769230769,0.0,0.8199470432480142,0.0,0.8233374857156787,0.0,0.8870192307692308,0.0,0.6405126152203485,0.0,0.6272459464555054,0.0,0.8328402366863905,0.0,0.64,0.0,0.04034579999279231,0.0
orem_m,ecoli1,-,keel,0.8823529411764706,0.0,0.8311111111111111,0.0,0.8581730769230769,0.0,0.8431372549019607,0.0,0.8569568250501305,0.0,0.9104567307692308,0.0,0.6887527436463262,0.0,0.7771344990578737,0.0,0.8602591068786982,0.0,0.6866359447004609,0.0,0.06235660001402721,0.0
glos,ecoli1,-,keel,0.8676470588235294,0.0,0.8114930182599356,0.0,0.8485576923076923,0.0,0.8268741159830268,0.0,0.8477912478906585,0.0,0.9176682692307692,0.0,0.6590092187963412,0.0,0.7828915118679051,0.0,0.8498578494822485,0.0,0.654627539503386,0.0,0.03849669999908656,0.0
mc_nro,ecoli1,-,keel,0.8676470588235294,0.0,0.8137254901960784,0.0,0.8269230769230769,0.0,0.8199470432480142,0.0,0.8233374857156787,0.0,0.8599759615384615,0.0,0.6405126152203485,0.0,0.6851382889985831,0.0,0.8328402366863905,0.0,0.64,0.0,0.043826800014358014,0.0
easy_bpnn,ecoli1,-,keel,0.8970588235294118,0.0,0.8480128893662728,0.0,0.8894230769230769,0.0,0.8653465346534654,0.0,0.8893061253670664,0.0,0.9447115384615384,0.0,0.7362723685862571,0.0,0.8104567271311408,0.0,0.8896311020710059,0.0,0.7313769751693002,0.0,0.022240700025577098,0.0
amcs,ecoli1,-,keel,0.8088235294117647,0.0,0.7392344497607655,0.0,0.6802884615384616,0.0,0.6996262317363235,0.0,0.6354889093022426,0.0,0.8569711538461539,0.0,0.41536110022181316,0.0,0.6107403158631873,0.0,0.7392346985946747,0.0,0.4043126684636119,0.0,0.18887310003628954,0.0
des_mi,ecoli1,-,keel,0.8676470588235294,0.0,0.8137254901960784,0.0,0.8269230769230769,0.0,0.8199470432480142,0.0,0.8233374857156787,0.0,0.8503605769230769,0.0,0.6405126152203485,0.0,0.6120881956021276,0.0,0.8328402366863905,0.0,0.64,0.0,0.010505499958526343,0.0
drcw_aseg,ecoli1,-,keel,0.8382352941176471,0.0,0.7767295597484276,0.0,0.7644230769230769,0.0,0.770199692780338,0.0,0.7516008556101078,0.0,0.8503605769230769,0.0,0.541012686225555,0.0,0.6226903356039386,0.0,0.7838618713017751,0.0,0.5405405405405406,0.0,0.004555599996820092,0.0
pt_bagging,ecoli1,-,keel,0.8529411764705882,0.0,0.8015873015873016,0.0,0.7740384615384616,0.0,0.7861635220125787,0.0,0.75955452531275,0.0,0.8545673076923077,0.0,0.5749661560353623,0.0,0.6385089562140647,0.0,0.796250924556213,0.0,0.5728643216080402,0.0,0.004872599965892732,0.0
evinci,ecoli1,-,keel,0.8676470588235294,0.0,0.8114930182599356,0.0,0.8485576923076923,0.0,0.8268741159830268,0.0,0.8477912478906585,0.0,0.8888221153846153,0.0,0.6590092187963412,0.0,0.6948893791966547,0.0,0.8498578494822485,0.0,0.654627539503386,0.0,0.013022599974647164,0.0
multirandbal,ecoli1,-,keel,0.8676470588235294,0.0,0.8114930182599356,0.0,0.8485576923076923,0.0,0.8268741159830268,0.0,0.8477912478906585,0.0,0.875,0.0,0.6590092187963412,0.0,0.6329912173202614,0.0,0.8498578494822485,0.0,0.654627539503386,0.0,0.010200500022619963,0.0
dpse,ecoli1,-,keel,0.8529411764705882,0.0,0.7933333333333333,0.0,0.8173076923076923,0.0,0.803921568627451,0.0,0.8145314840210527,0.0,0.9014423076923076,0.0,0.610170215847752,0.0,0.7637867647058824,0.0,0.8218380177514792,0.0,0.6082949308755761,0.0,0.004091500013601035,0.0
oremboost,ecoli1,-,keel,0.8823529411764706,0.0,0.8365384615384616,0.0,0.8365384615384616,0.0,0.8365384615384616,0.0,0.8320502943378437,0.0,0.8912259615384615,0.0,0.6730769230769231,0.0,0.7570483642174819,0.0,0.8440273668639053,0.0,0.6730769230769231,0.0,0.11789950000820681,0.0
e_evrs,ecoli1,-,keel,0.8676470588235294,0.0,0.8114930182599356,0.0,0.8485576923076923,0.0,0.8268741159830268,0.0,0.8477912478906585,0.0,0.8786057692307692,0.0,0.6590092187963412,0.0,0.6578839869281046,0.0,0.8498578494822485,0.0,0.654627539503386,0.0,0.04444490000605583,0.0
adaboost_ad,ecoli1,-,keel,0.8382352941176471,0.0,0.7745098039215687,0.0,0.7860576923076923,0.0,0.7799352750809061,0.0,0.7798545229227544,0.0,0.884014423076923,0.0,0.560448538317805,0.0,0.7696717016221326,0.0,0.7957713110207101,0.0,0.56,0.0,0.007176500046625733,0.0
SPE,glass,-,keel,0.7209302325581395,0.0,0.7828877005347593,0.0,0.7787698412698413,0.0,0.7726503385105535,0.0,0.7279559852588364,0.0,0.9070235054430457,0.0,0.633239476568757,0.0,0.818352784662252,0.0,0.7427878762456451,0.0,0.6244541484716157,0.0,0.37978379998821765,0.0
DeepSMOTE,glass,-,keel,0.7674418604651163,0.0,0.6697303921568628,0.0,0.5838293650793651,0.0,0.6159640762463344,0.0,0.0,0.0,0.9358409723352251,0.0,0.6756012846972864,0.0,0.8054909741107656,0.0,0.5328517233641541,0.0,0.6722560975609756,0.0,0.22676280001178384,0.0
DDPM,glass,-,keel,0.813953488372093,0.0,0.6787581699346404,0.0,0.6671626984126985,0.0,0.6688172043010753,0.0,0.0,0.0,0.9802666788298972,0.0,0.7429388606836923,0.0,0.9243475016269134,0.0,0.6437699332406973,0.0,0.7393939393939394,0.0,6.60518630000297,0.0
DBCF,glass,-,keel,0.8372093023255814,0.0,0.8335667600373483,0.0,0.7872023809523809,0.0,0.8046897546897548,0.0,0.7396119202396468,0.0,0.9683049017819133,0.0,0.7741394046269683,0.0,0.9040878176332044,0.0,0.7452012441111502,0.0,0.7735139202407826,0.0,1.864356999984011,0.0
DEAHS,glass,-,keel,0.8372093023255814,0.0,0.8400793650793651,0.0,0.7886904761904763,0.0,0.8043837882547561,0.0,0.7418363755904023,0.0,0.9622162032722376,0.0,0.7760745987346228,0.0,0.8876058564163319,0.0,0.7478343049168684,0.0,0.7736842105263158,0.0,2.224696599994786,0.0
s_smote,glass,-,keel,0.627906976744186,0.0,0.7765567765567766,0.0,0.7822420634920636,0.0,0.7206780538302278,0.0,0.7279559852588364,0.0,0.8770692182330113,0.0,0.5636983106116074,0.0,0.7236122906901415,0.0,0.7597856227221093,0.0,0.5284441398217956,0.0,0.49469239998143166,0.0
scut,glass,-,keel,0.6511627906976745,0.0,0.7111111111111111,0.0,0.6865079365079364,0.0,0.6873192167309813,0.0,0.646110525007457,0.0,0.9335235738612176,0.0,0.5394688708299324,0.0,0.8457156454584638,0.0,0.6299117188382377,0.0,0.524686809137804,0.0,0.1836726000183262,0.0
